user_id,item_id,cat_id,seller_id,brand_id,time_stamp,action_type
422202,929057,177,1480,7069.0,0628,0
232760,633604,464,506,7500.0,0718,0
233381,184308,1023,2997,6357.0,0904,0
135538,1068900,933,1,1662.0,1111,0
121842,1006919,184,2004,3933.0,0916,0
333522,1083333,1326,3724,2374.0,1110,0
255102,273833,662,1272,3489.0,0623,0
280893,1056652,295,3951,3631.0,0522,0
181715,582200,184,2292,7537.0,1106,0
88782,759987,407,3781,3645.0,0523,0
307653,861119,1238,2645,3063.0,0803,0
158057,1076057,1174,1677,5712.0,1107,0
9072,493760,120,4043,7178.0,0618,0
68523,302314,1611,3183,8235.0,1111,0
158900,891872,276,4798,4120.0,1025,0
97216,888434,662,3984,7610.0,1111,0
206731,421228,1112,794,3687.0,1031,0
392701,581118,530,1393,4705.0,1108,0
314321,617064,4,2044,1883.0,0529,0
343802,297816,574,4605,7622.0,0908,0
166198,895912,276,3183,8235.0,1111,0
328093,141345,1401,4170,3964.0,1010,0
23240,542203,662,2676,3997.0,0920,0
343083,479052,1238,2845,5693.0,0711,0
80401,722412,1208,4990,994.0,1026,0
32976,642305,715,2622,1771.0,1106,0
254211,52183,1397,4044,82.0,1030,0
140311,1039612,142,2484,3929.0,1111,0
85688,21031,649,4161,5812.0,0623,0
385997,869709,1183,2559,133.0,0620,0
294559,354121,612,830,6866.0,0803,0
319533,353401,276,2402,8419.0,1029,0
166652,107432,387,3698,2104.0,1103,3
310177,585936,834,977,1483.0,0602,3
398654,88490,1208,422,2276.0,1111,0
94704,172987,1190,184,1360.0,1111,0
414384,139678,528,474,1866.0,1106,0
135946,86218,632,2775,7218.0,1111,0
61722,1081018,666,1207,8476.0,0617,0
1371,1108512,898,1703,2946.0,0614,0
116377,976662,1401,1713,6121.0,1110,0
410003,662401,662,3433,1018.0,0725,0
359144,1036188,120,2776,2046.0,1022,0
216616,950987,662,4044,82.0,1102,0
9829,573770,1553,643,968.0,1111,2
138519,685345,601,3270,7463.0,0726,0
64529,419757,407,3580,6677.0,0816,0
415248,633548,1505,2246,394.0,0623,0
84751,974020,464,523,3312.0,0522,0
409667,730748,1208,2715,5517.0,1109,0
69221,801136,196,1480,7069.0,0607,0
380285,124139,229,2193,3591.0,1111,0
213370,1090463,1505,830,6866.0,0527,0
135747,652274,821,1966,7023.0,0519,2
52580,948520,737,86,3142.0,0926,0
28623,676483,1389,2122,880.0,0624,3
46447,412552,407,3556,1236.0,1110,0
215751,830859,1467,2799,568.0,0811,0
208055,52245,1553,3629,1746.0,1111,2
173644,375551,11,2173,2252.0,0705,0
62693,156264,1505,1102,1214.0,0629,0
167548,387999,1208,3612,3927.0,0910,0
133784,866205,451,941,6275.0,1111,0
235706,1029188,1100,3260,8202.0,1109,0
43847,209591,821,1138,4104.0,0920,0
176063,227080,1208,4720,8243.0,0902,0
145022,128535,602,3975,323.0,1111,0
7603,464385,384,2196,6519.0,0621,0
140501,260225,602,2328,626.0,1111,0
104250,334685,641,39,8113.0,0922,2
352703,71819,612,3760,3738.0,1022,3
104955,880864,656,3029,3455.0,1013,0
295616,1063907,1112,4454,662.0,1101,0
162689,1071796,1188,547,4905.0,1105,0
306334,472387,602,1058,3369.0,0911,0
379161,922433,1069,9,549.0,1108,0
308570,379615,1208,1304,2276.0,1111,0
174927,708206,992,4048,5362.0,1111,0
164123,1044894,825,2823,1128.0,1109,0
134381,1017941,662,858,8390.0,0904,0
366354,609709,1401,422,2276.0,1111,0
108295,528395,1577,2440,2786.0,0812,0
385736,890807,138,1486,3551.0,1110,0
18199,875948,1143,1173,6090.0,1101,0
79885,918840,1611,4845,3345.0,1110,0
210190,229182,177,1530,3338.0,0930,0
235985,957321,1467,4432,1209.0,0525,0
135242,986842,1112,1708,2970.0,0730,0
315939,20398,664,2652,7117.0,1111,0
27822,1083855,606,2579,3322.0,1022,0
26938,121940,1075,2545,2334.0,1111,0
59409,290489,1181,1724,1464.0,1109,0
258003,594369,407,3734,2045.0,0803,0
180584,441588,559,3139,549.0,1111,0
187676,481190,1208,1535,8411.0,1109,0
300942,1003501,1438,1833,1661.0,1111,0
374200,673088,1401,192,5638.0,1026,0
224395,903,1157,4715,6193.0,0906,2
134805,1044371,612,2687,5084.0,1006,0
410059,625573,1504,644,6455.0,0930,3
281765,458633,1395,1056,1439.0,1103,0
3398,304292,884,1703,404.0,1009,0
81234,81618,1389,892,4584.0,0608,2
210502,1359,1349,1503,3650.0,0717,0
100126,270108,302,3511,4254.0,0714,0
264518,1083853,662,1272,3489.0,0829,0
163710,754733,1553,4752,6938.0,1109,0
139150,988568,656,4432,1209.0,1109,3
180748,836534,656,4354,3726.0,1111,0
324156,569409,1075,35,8008.0,0624,0
129471,562594,821,405,2694.0,1012,2
211200,930862,993,2436,5599.0,1111,0
248434,939272,464,3373,5148.0,1027,3
404528,168109,1331,318,4275.0,0629,0
107109,1085333,369,685,6267.0,1107,0
360114,499619,302,1955,6547.0,0529,0
254760,658092,1208,4766,4360.0,1111,0
234381,744667,662,1340,1981.0,0718,0
163516,417032,656,4257,6742.0,1111,2
327693,878657,821,4752,6938.0,1020,0
362788,1079040,1467,3296,8297.0,0722,0
367431,299000,1271,2799,568.0,1103,0
87618,792512,606,2579,3322.0,1111,0
52662,948060,1188,3610,3161.0,0725,0
343754,562577,389,191,1766.0,1111,0
104486,784226,662,3638,5446.0,0808,0
234017,237246,662,4173,5376.0,1111,0
7220,958939,407,2560,2116.0,0608,0
415208,95653,369,1679,7931.0,1111,0
226726,896173,592,2283,7597.0,1111,2
126379,139695,1271,437,7980.0,0625,0
127466,123347,662,883,1647.0,0601,0
288258,1049364,1075,3365,7524.0,0709,2
310484,521105,464,3797,4309.0,0908,0
210043,511718,992,2140,550.0,1111,0
319726,618024,656,1603,7808.0,1111,0
125191,652042,177,219,1818.0,1111,0
333766,545755,1188,3419,5366.0,0813,0
359686,738673,1505,141,3614.0,0926,0
308644,994487,304,2838,4917.0,0811,0
209189,937319,1042,4599,1672.0,1021,0
262380,278522,1095,30,8130.0,1017,0
48947,8646,748,30,8130.0,1111,0
306410,718358,1505,3760,3738.0,0626,0
189284,778415,1401,3326,6585.0,1111,0
70762,14679,1577,1217,1740.0,0626,0
317960,1110765,992,951,4636.0,1029,0
321888,62733,1349,3678,1360.0,0901,0
264239,279221,302,877,2254.0,0915,0
399947,595111,35,3486,4644.0,0704,0
403091,558925,1554,306,7592.0,0715,0
41454,811588,389,4712,6796.0,1111,0
244053,150674,1208,4766,4360.0,0908,0
116132,406748,737,4106,391.0,0902,0
277913,92701,407,3551,4928.0,0708,0
365025,855358,946,3444,5308.0,1110,0
166587,927980,1401,291,2321.0,1111,0
198594,375531,812,579,3610.0,0611,0
403799,969054,1505,643,968.0,0910,0
359360,27177,612,401,8228.0,1002,0
45939,588678,1311,1996,6792.0,1105,0
43960,775871,407,1618,8235.0,0617,0
312371,741835,389,3698,2104.0,1105,0
105701,832770,662,1102,1214.0,0815,0
97695,1049654,407,2090,2565.0,0717,0
44080,64576,662,1240,1260.0,0528,0
256367,67897,1349,184,1360.0,1111,0
266131,722686,944,4161,5812.0,1007,0
244319,836923,302,55,1997.0,0910,0
406223,522346,1349,1503,6065.0,0911,0
314724,794948,1213,2356,3619.0,0805,2
92039,558301,656,131,8287.0,1111,0
50292,89995,389,42,6124.0,1111,0
73896,268181,177,318,4275.0,0823,0
62362,840226,1577,930,1548.0,0531,0
344947,436988,1213,2209,4382.0,1111,2
293794,178590,821,3760,3738.0,1110,3
380153,783997,1349,184,1360.0,1111,0
225172,100372,812,586,5579.0,0722,0
191742,152594,707,4052,3858.0,1108,0
211024,168178,662,4310,3320.0,0815,0
6003,1094332,252,1050,6288.0,1111,0
102838,712505,1172,1783,5041.0,0711,0
142010,300474,1280,4282,7892.0,1029,3
10903,141675,664,2669,3776.0,1111,0
234517,182575,656,4257,6742.0,1111,0
130840,28895,555,798,385.0,1018,0
29611,871572,662,4070,5496.0,0914,0
276577,967706,267,290,7896.0,0714,0
386799,187794,662,3017,7703.0,0616,0
89251,391593,389,4044,82.0,1111,0
331042,937295,1142,1043,7164.0,1010,0
184166,175099,662,4566,6322.0,0718,0
422580,9012,1213,882,7945.0,0728,0
172342,531570,407,4205,928.0,0905,0
296882,781235,1389,3128,8391.0,1102,0
58532,1010669,1518,4287,6349.0,0902,0
362900,784168,420,3486,4644.0,0710,0
14233,102170,662,4094,7749.0,1015,0
34058,903592,247,2193,6300.0,1103,0
261301,349683,834,2068,2432.0,1109,0
184884,408614,656,644,6455.0,0920,0
9122,512204,1142,2246,394.0,1008,0
183007,896187,331,4792,6515.0,1018,0
104384,1044203,420,2639,7063.0,1011,0
261929,499566,958,1190,3658.0,1111,0
417031,974643,784,550,5230.0,0628,0
235806,914106,1238,3760,3738.0,1101,0
360624,20142,1023,1770,8376.0,1110,0
197942,487637,394,1499,6861.0,0521,0
211493,717511,154,412,4396.0,1108,0
316733,910041,1208,3551,4928.0,0915,0
294877,603934,1188,1788,5302.0,0524,3
208153,968766,664,1131,2350.0,1110,0
250382,927783,946,2813,5818.0,1111,0
335790,71561,1033,796,4329.0,0902,0
107110,232424,821,790,384.0,0701,0
205043,650018,812,608,6446.0,1109,0
243298,618265,1213,4079,2638.0,1111,0
9075,721851,1075,4818,7606.0,1001,0
158661,1086067,184,937,1259.0,0721,0
153136,606133,1075,4251,1119.0,1111,0
216133,959344,276,361,5735.0,0923,0
341420,542526,1577,643,968.0,0707,0
23851,224289,992,1741,4672.0,1110,0
156041,296759,180,1505,6927.0,0825,0
94976,766099,612,140,5857.0,1108,0
143056,933757,662,883,1647.0,0625,0
415786,944951,120,2584,2350.0,0711,0
72481,1002169,267,2526,2594.0,1013,0
301269,207674,662,2849,3510.0,0531,0
411348,235040,154,3213,2651.0,0912,0
263416,780202,1075,3395,3803.0,1110,0
340286,866952,662,4173,5376.0,1111,0
4909,234379,177,1255,179.0,0704,0
144291,71031,1357,3614,2968.0,0601,0
179461,169609,1505,2468,1392.0,0614,0
298321,897780,530,2443,3654.0,1102,0
271113,492289,1438,2404,4422.0,1111,0
118895,852243,1075,578,7647.0,0825,0
133512,448489,154,4949,706.0,0921,0
37205,492289,1438,2404,4422.0,1111,0
